row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.343832900691168,0.229744871662378,0.41740603073373,0.402437083666746,0.196226626323782,0.684411980828919,0.444040338191186,0.0325633734314318
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.292831211617106,0.168632672614008,0.436526615104519,0.288176844506779,0.345322091804199,0.443078998453591,0.335903792213139,0.0321774666235089
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.370779734431901,0.342211031523973,0.640281915888093,0.343210086700622,0.270475414947854,0.554974281358646,0.337647930051495,0.106657480552627
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.399441213842948,0.570136106202899,0.593830554069343,0.401423432877758,0.336019941557199,0.570334177826035,0.150153112428269,0.174191171939134
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.2853771187801,0.163118575177667,0.470705053876792,0.344303666772909,0.121170953580926,0.516149551980171,0.230383452992626,0.151808577079606
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.268654849602875,0.268060706231694,0.317013046768448,0.303998890278209,0.20789373002341,0.138047138047138,0.430087235484341,0.215483200386883
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.43782941693405,0.380407584451856,0.615356389510435,0.61907259467932,0.196330024288688,0.664610272102129,0.495492404422676,0.0935366490832489
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.417307534564049,0.407658082559539,0.56971800655758,0.480798066653967,0.240845414796681,0.86356507529146,0.30014896652685,0.0584191295622656
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.388456286736539,0.633842502387122,0.621559472269376,0.276750532026278,0.189289429529409,0.462189758606697,0.44665654494872,0.0889057673881742
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.347576113113687,0.462254789792583,0.690715662127776,0.174725053742253,0.210101019912528,0.471007578499435,0.357705515192584,0.0665231725286464
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.430682499102712,0.553575243099398,0.660838435605269,0.59203763588347,0.260656758200146,0.41513945097007,0.437063786837764,0.0954661831228634
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.373617034466881,0.600415072332614,0.809736841503755,0.317431152355023,0.307798163689181,0.361952861952862,0.185035869195381,0.0329492802393547
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.416586816619863,0.579320078331977,0.740721685423673,0.401032325318914,0.247298871112108,0.420294146678511,0.43236033315892,0.0950802763149405
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.331828669554134,0.133368162429155,0.325198157100908,0.121697140316739,0.248348250458064,0.887463121990809,0.505085162533632,0.10164069204963
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.481674670659855,0.4642048640875,0.655736634539717,0.591430584304045,0.221452796485139,0.804872832560129,0.504213093614454,0.129811889028001
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.34411864904591,0.324526776229823,0.534596090556947,0.538215253439526,0.157397597520809,0.3521699075445,0.298404828688494,0.203520089341274
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.455278005366054,0.666876515326102,0.60399975832033,0.368912709577994,0.167961056275877,0.730568442294827,0.557020440723617,0.0916071150436344
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.323710820058182,0.109647543794321,0.300186082040028,0.249063622784736,0.12728385689069,0.905521008126872,0.449092619437701,0.125181007332926
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.417173243688944,0.651063342955801,0.683261482631177,0.40415427630378,0.164911182970613,0.721449017865956,0.262424122855926,0.0329492802393547
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.300154521217613,0.316449768280898,0.45520987397371,0.460858132623664,0.167758371231495,0.49190054727514,0.142767689417658,0.0661372657207235
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.37508760210131,0.382271092251262,0.640098837495704,0.415202826362064,0.357677048632063,0.364946972438829,0.400436892232296,0.0649795452969549
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.524946726637373,0.509417465145129,0.439196169066186,0.477622901281659,0.528299634729584,0.503295715022099,0.429721252462523,0.787073948754433
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.50585043870446,0.395483498258704,0.539429193436209,0.471646409536434,0.384882990811073,0.528038254422619,0.436709240785377,0.784763483680805
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.402605887299997,0.421881882604527,0.628336409500039,0.380991968996584,0.420274754939285,0.797606905098762,0.136200009721424,0.0329492802393547
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.456930039708431,0.344010255804044,0.651406045235602,0.594974900248703,0.34553695424191,0.0252525252525253,0.456801136834762,0.780528460341472
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.426600233925717,0.274264065847579,0.653451176855678,0.481472809138121,0.334443305922114,0.394257449632042,0.11720034425278,0.731112485831703
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.337076878532511,0.363783292965417,0.606197198178546,0.516792758552509,0.317635775095267,0.221640948025313,0.25654552056796,0.0769426563425645
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.342747259613605,0.440770664244373,0.69085195960308,0.68169671072899,0.163536003078925,0.28898101536538,0.100445184035134,0.0329492802393547
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.34752915057363,0.521028638134859,0.639924238458425,0.668494647055353,0.167689521328748,0.254208754208754,0.148408974589913,0.0329492802393547
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.405781858246439,0.666907228563118,0.632567767825312,0.605245244185038,0.286513582615537,0.318181818181818,0.252185175972071,0.078872190382179
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.425887756666791,0.647557889243105,0.584188729401688,0.654365779572283,0.337966169917903,0.421873457704077,0.264108216604764,0.0711540542237211
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.469252615130711,0.61720106862886,0.630143575599622,0.725586561900711,0.351528169655232,0.661034887419252,0.135502354586082,0.163771688125216
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.496963870125654,0.668560743532694,0.705248312802562,0.592273596399255,0.554210724743577,0.106060606060606,0.280777599551671,0.57161550778921
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.496602514986794,0.720588252776292,0.4267259956162,0.77876257159252,0.49878919651089,0.0336700336700337,0.0176815547416246,1
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.536202734403358,0.418569138574767,0.497974692791418,0.844734328316742,0.464073236938533,0.491001217385582,0.322665500095785,0.714401026720681
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.475220281721451,0.405583153407651,0.723557027968422,0.852493008089187,0.506081874403868,0.349795457287314,0,0.489031450893711
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.596975674181028,0.744573721487982,0.716108524227027,0.701998333667726,0.668218235592348,0.318499873874467,0.430802046073831,0.598628984343813
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.533854238895408,0.349486638265181,0.532778486245999,0.700030961686491,0.403189762637268,0.535671591046184,0.300266195463526,0.915556036923209
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.539653693382135,0.57102679007636,0.663949164292846,0.672602151714322,0.401567056480379,0.414958488248391,0.320781259381889,0.732690943480762
