row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Access to Care
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.348102237608603,0.507389162561576,0.572147651006712,0.122426265998887,0.208066896212494,0.330481212263348
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.302312913106758,0.38752052545156,0.50503355704698,0.0856983861992209,0.113625184456468,0.419686912379563
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.435150895425756,0.548440065681445,0.686241610738255,0.129104062326099,0.330054107230694,0.481914631152285
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.57389948184572,0.548440065681445,0.807046979865772,0.302170283806344,0.568125922282341,0.643714157592696
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.278081192410575,0.231527093596059,0.52013422818792,0.117974401780746,0.129857353664535,0.390912884823615
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.368220138097429,0.428571428571429,0.610738255033557,0.15025041736227,0.239547466797836,0.411993122722055
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.415169732949944,0.279146141215107,0.746644295302014,0.24819143016138,0.429414658140679,0.372452139930539
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.432411903634247,0.441707717569787,0.682885906040268,0.326655537006121,0.446630595179538,0.264179762375523
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.570835410967628,0.55008210180624,0.691275167785235,0.521424596549805,0.658632562715199,0.432762625981661
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.492121670739756,0.582922824302135,0.719798657718121,0.320534223706177,0.46581406787998,0.371538580092369
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.508392241416071,0.357963875205255,0.682885906040268,0.487479131886478,0.556812592228234,0.456819701720122
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.548944445016572,0.459770114942529,0.713087248322148,0.518085698386199,0.593212001967536,0.460567161464449
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.523545637111398,0.400656814449918,0.662751677852349,0.509181969949917,0.588293162813576,0.456844560491228
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.236816599805388,0.206896551724138,0.456375838926175,0.184752365052866,0.120511559272012,0.21554668405175
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.467685456284007,0.627257799671593,0.652684563758389,0.393989983305509,0.537137235612395,0.127357699072146
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.374303183738686,0.477832512315271,0.62751677852349,0.301057317751809,0.38170191834727,0.0834073917555886
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.56500877985544,0.58128078817734,0.602348993288591,0.680022259321091,0.694048204623709,0.267343653866471
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.219818845236888,0.154351395730706,0.454697986577181,0.131886477462437,0.117560255779636,0.240598110634477
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.587533728988525,0.566502463054187,0.711409395973154,0.505843071786311,0.677816035415642,0.476097678713329
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.39696566791985,0.564860426929393,0.558724832214765,0.235392320534224,0.281849483521889,0.344001276398977
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.389993187917189,0.220032840722496,0.48489932885906,0.351140790205899,0.347761928184948,0.54613105161354
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.519948601677343,0.38423645320197,0.788590604026846,0.267111853088481,0.519921298573537,0.639882799495883
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.468511035507581,0.555008210180624,0.647651006711409,0.213689482470785,0.319724545007378,0.60648193316771
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.441262262705237,0.318555008210181,0.610738255033557,0.223149693934335,0.456960157402853,0.596908198945261
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.40183118668011,0.274220032840723,0.61744966442953,0.183082915971063,0.321200196753566,0.613203123405671
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.370747236384775,0.41871921182266,0.523489932885906,0.132442960489705,0.224299065420561,0.554785011305042
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.399818215010202,0.390804597701149,0.521812080536913,0.352253756260434,0.302016724053123,0.432203916499388
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.446572002114343,0.362889983579639,0.625838926174497,0.342237061769616,0.451549434333497,0.450344604714466
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.531486771872817,0.720853858784893,0.661073825503356,0.400667779632721,0.50122970978849,0.373608685654625
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.597565657007031,0.707717569786535,0.582214765100671,0.599332220367279,0.630103295622233,0.468460434158437
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.581637212993253,0.653530377668309,0.572147651006712,0.569838619922092,0.619281849483522,0.493387566885631
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.567974212313715,0.725779967159278,0.501677852348993,0.56316082359488,0.556812592228234,0.49243982623719
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.520863130822585,0.566502463054187,0.385906040268456,0.835837506956038,0.711756025577964,0.104313618256281
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.611509650771192,0.873563218390805,0.478187919463087,0.732331663884252,0.727988194786031,0.245477257331784
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.444551896846238,0.594417077175698,0.535234899328859,0.406232609905398,0.372356123954747,0.31451877386649
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.446193745303185,0.431855500821018,0.748322147651007,0.314412910406233,0.398917855386129,0.33746031225154
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.626528895389988,0.448275862068966,0.664429530201342,0.682248191430162,0.694048204623709,0.643642688625764
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.371157187662346,0.211822660098522,0.528523489932886,0.360044518642181,0.305951795376291,0.44944347426185
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.570557120438636,0.605911330049261,0.703020134228188,0.363383416805787,0.521396950319725,0.659073770790217
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.698591814514934,0.798029556650246,0.587248322147651,0.872565386755704,0.949827840629611,0.285287966391458
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.497012894457156,0.623973727422003,0.620805369127517,0.381747356705621,0.409247417609444,0.449290601421195
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.491889937825106,0.42200328407225,0.619127516778524,0.423483583750696,0.473684210526316,0.521151093997744
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.584449972228609,0.711001642036125,0.610738255033557,0.522537562604341,0.505164781111658,0.572807620357364
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.461574852981964,0.297208538587849,0.692953020134228,0.15525876460768,0.627151992129857,0.535301949450205
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.648705589507798,0.733990147783251,0.466442953020134,0.774624373956594,0.757993113625185,0.510477359153826
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.537963877895851,0.545155993431856,0.513422818791946,0.633277685030607,0.539104771273979,0.458858120950867
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.284600543059078,0.211822660098522,0.436241610738255,0.225375626043406,0.202656173143138,0.346906645272067
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.483046468905377,0.653530377668309,0.441275167785235,0.493600445186422,0.491392031480571,0.335434322406348
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.481274889554314,0.607553366174056,0.471476510067114,0.52031163049527,0.453516969995081,0.353515971040048
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.575019478939474,0.497536945812808,0.36744966442953,0.828603227601558,0.729463846532219,0.452043710321256
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.409402136282442,0.38423645320197,0.25503355704698,0.636060100166945,0.458435809149041,0.313244761847274
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.713189529703286,0.939244663382594,0.390939597315436,0.933778519755147,0.836694540088539,0.465290327974713
53,26163507300,26163507300,"+42.4262623,-083.0877402",0.362898399335657,0.499178981937603,0.354026845637584,0.407902058987201,0.260206591244466,0.293177518871431
54,26163507400,26163507400,"+42.4362144,-083.0856365",0.379701453824197,0.555008210180624,0.291946308724832,0.507512520868114,0.265125430398426,0.27891479894899
55,26163507500,26163507500,"+42.4432546,-083.0881317",0.52610954725985,0.717569786535304,0.271812080536913,0.725097384529772,0.572060993605509,0.344007491091754
56,26163507800,26163507800,"+42.4243919,-083.0970382",0.70611506339575,0.717569786535304,0.568791946308725,0.88313856427379,0.959665518937531,0.401409500923398
57,26163507900,26163507900,"+42.4263906,-083.1066037",0.361234501333255,0.571428571428571,0.533557046979866,0.183639398998331,0.27201180521397,0.245535684045535
58,26163508000,26163508000,"+42.4392203,-083.1132634",0.777938352431377,0.784893267651888,0.592281879194631,0.924318308291597,1,0.588198307018769
59,26163508100,26163508100,"+42.4408940,-083.1014824",0.571589599355858,0.620689655172414,0.709731543624161,0.493043962159154,0.560255779636006,0.474227056187554
60,26163510400,26163510400,"+42.4147480,-083.0760398",0.51506328850089,0.559934318555008,0.441275167785235,0.745687256538676,0.598622725036891,0.229796974588637
61,26163510500,26163510500,"+42.4086539,-083.0689077",0.481064363496877,0.556650246305419,0.348993288590604,0.400667779632721,0.820462370880472,0.278548132075167
62,26163510600,26163510600,"+42.4074065,-083.0465471",0.377319510585714,0.251231527093596,0.528523489932886,0.22426265998887,0.510083620265617,0.372496255647602
63,26163510700,26163510700,"+42.3936461,-083.0398776",0.657444908324526,0.532019704433498,0.949664429530201,0.628269337785198,0.861288735858338,0.315982334015394
64,26163511000,26163511000,"+42.4008260,-083.0306599",0.573162033644104,0.528735632183908,0.562080536912752,0.720645520311631,0.79390063944909,0.260447839363137
65,26163511200,26163511200,"+42.3763856,-083.0658451",0.429408377182524,0.645320197044335,0.407718120805369,0.516972732331664,0.489916379734383,0.0871144559968678
66,26163511300,26163511300,"+42.4154477,-083.0497684",0.614816389341391,0.610837438423645,0.828859060402685,0.457429048414023,0.652238071815052,0.524718327651549
67,26163511400,26163511400,"+42.3900705,-083.0776630",0.654644993958583,0.858784893267652,0.374161073825503,0.884251530328325,0.805705853418593,0.350321618952843
68,26163511900,26163511900,"+42.3735241,-083.0718813",0.499960734363025,0.788177339901478,0.476510067114094,0.582081246521981,0.555336940482046,0.0976980777955242
69,26163512100,26163512100,"+42.3989089,-082.9638962",0.568550861106169,0.753694581280788,0.605704697986577,0.564273789649416,0.596163305459911,0.32291793115415
70,26163512200,26163512200,"+42.3953197,-082.9768484",0.642137548642506,0.714285714285714,0.525167785234899,0.767946577629382,0.825873093949828,0.377414572112704
71,26163512300,26163512300,"+42.3882982,-082.9663155",0.666004777345787,0.916256157635468,0.434563758389262,0.873678352810239,0.806689621249385,0.298835996644582
72,26163512400,26163512400,"+42.3908867,-082.9560714",0.586597915180381,0.683087027914614,0.511744966442953,0.680022259321091,0.73044761436301,0.327687707860238
73,26163512600,26163512600,"+42.3820764,-082.9560601",0.592161401455908,0.701149425287356,0.526845637583893,0.717306622148025,0.713723561239548,0.30178176102072
74,26163512900,26163512900,"+42.3755477,-082.9504678",0.732519621102621,0.870279146141215,0.52013422818792,0.898163606010017,0.978357107722578,0.395664017451373
75,26163513200,26163513200,"+42.3679701,-082.9383380",0.511406016519532,0.44991789819376,0.558724832214765,0.581524763494714,0.511559272011805,0.455303316682616
76,26163513300,26163513300,"+42.3582384,-082.9413094",0.277791108488227,0.103448275862069,0.369127516778524,0.326655537006121,0.17560255779636,0.414121654998061
77,26163513600,26163513600,"+42.3657136,-082.9802179",0.615693144193901,0.883415435139573,0.343959731543624,0.891485809682805,0.783571077225775,0.176033667377729
78,26163513700,26163513700,"+42.3580493,-082.9609921",0.298511673924833,0.234811165845649,0.166107382550336,0.552031163049527,0.258239055582882,0.281369602595772
79,26163513900,26163513900,"+42.3722151,-082.9837943",0.609129049628172,0.701149425287356,0.406040268456376,0.818030050083472,0.67929168716183,0.441133817151825
80,26163514100,26163514100,"+42.3798303,-082.9893988",0.686800503146898,0.894909688013136,0.469798657718121,0.814134668892599,0.776684702410231,0.478474798700403
81,26163514200,26163514200,"+42.3817139,-083.0084252",0.555516848543861,0.70935960591133,0.206375838926175,0.851419031719533,0.646827348745696,0.363602417416571
82,26163514300,26163514300,"+42.3888619,-082.9934067",0.716867230122991,0.888341543513957,0.340604026845638,0.98330550918197,0.85243482538121,0.51965024569218
83,26163514500,26163514500,"+42.3753160,-082.9999028",0.552207368190463,0.761904761904762,0.474832214765101,0.613800779076238,0.52680767338908,0.383691411817133
84,26163515200,26163515200,"+42.3616627,-083.0056672",0.459999951577708,0.559934318555008,0.11744966442953,0.829159710628826,0.55238563698967,0.241070427285503
85,26163515300,26163515300,"+42.3532902,-083.0005510",0.601240361995225,0.945812807881773,0.162751677852349,0.954368391764051,0.640924741760944,0.302344190717008
86,26163515400,26163515400,"+42.3609676,-082.9963793",0.212679939267262,0.0541871921182266,0.436241610738255,0.20534223706177,0.166748647319233,0.200880009098826
87,26163515600,26163515600,"+42.3639483,-082.9917654",0.468965908742919,0.696223316912972,0.407718120805369,0.565943238731219,0.575504181013281,0.0994406862517513
88,26163515700,26163515700,"+42.3530390,-082.9871415",0.254346177815043,0.270935960591133,0,0.529215358931553,0.221839645843581,0.249739923708948
89,26163515900,26163515900,"+42.3829752,-083.0169292",0.553096227637496,0.532019704433498,0.437919463087248,0.774624373956594,0.820954254795868,0.199963341914269
90,26163516000,26163516000,"+42.3714831,-083.0093251",0.399477988241185,0.619047619047619,0.364093959731544,0.442960489705064,0.335956714215445,0.235331158506255
91,26163516100,26163516100,"+42.3756603,-083.0258411",0.51430020428229,0.640394088669951,0.317114093959732,0.829716193656094,0.671421544515494,0.112855100610177
92,26163516200,26163516200,"+42.3661558,-083.0189390",0.607644624426467,0.689655172413793,0.478187919463087,0.882582081246522,0.871126414166257,0.116671534842675
93,26163516300,26163516300,"+42.3595713,-083.0152242",0.659877255097296,0.720853858784893,0.449664429530201,0.992209237618253,0.908017707820954,0.228641041732178
94,26163516400,26163516400,"+42.3508558,-083.0096137",0.363837901923745,0.600985221674877,0.345637583892618,0.41291040623261,0.25971470732907,0.19994159048955
95,26163516500,26163516500,"+42.3375655,-083.0148583",0.149735491429277,0.110016420361248,0.481543624161074,0.0562047857540345,0.0339399901623217,0.0669726367077044
96,26163516600,26163516600,"+42.3413645,-083.0201887",0.589284058150597,0.811165845648604,0.412751677852349,0.808013355592654,0.601574028529267,0.312915383130111
97,26163516700,26163516700,"+42.3483954,-083.0210206",0.20530320509324,0.187192118226601,0.184563758389262,0.365609348914858,0.14756517461879,0.141585625316689
98,26163516800,26163516800,"+42.3560005,-083.0254934",0.539122737052298,0.620689655172414,0.37751677852349,0.761825264329438,0.67437284800787,0.261209139228278
99,26163516900,26163516900,"+42.3446547,-083.0302450",0.325242418792386,0.438423645320197,0.0184563758389262,0.819699499165276,0.329562223315298,0.0200703503222318
100,26163517000,26163517000,"+42.3408105,-083.0361037",0.132598115215998,0.0164203612479475,0.437919463087248,0.170283806343907,0.0383669454008854,0
101,26163517100,26163517100,"+42.3358287,-083.0330442",0.125671744228498,0.0361247947454844,0.119127516778524,0.316082359488036,0.12444663059518,0.0325774195352653
102,26163517200,26163517200,"+42.3338393,-083.0390113",0.230070257864411,0.134646962233169,0.550335570469799,0.010016694490818,0.171667486473192,0.283684575655079
103,26163517300,26163517300,"+42.3456895,-083.0505419",0.289636065989571,0.146141215106732,0.545302013422819,0.303839732888147,0.284308903098869,0.168588465431288
104,26163517500,26163517500,"+42.3541327,-083.0560746",0.584823531054042,0.924466338259442,0.223154362416107,0.89037284362827,0.680275454992622,0.205848655973768
105,26163518000,26163518000,"+42.3624987,-083.0613713",0.220829583434419,0.247947454844007,0.528523489932886,0.095715080690039,0.11706837186424,0.114893519840923
106,26163518400,26163518400,"+42.3698286,-083.0441079",0.58544329785079,0.628899835796388,0.565436241610738,0.747356705620479,0.785538612887359,0.199985093338987
107,26163518500,26163518500,"+42.3732892,-083.0345719",0.438080744986542,0.541871921182266,0.407718120805369,0.613244296048971,0.538612887358583,0.0889564995375215
108,26163518600,26163518600,"+42.3647264,-083.0294479",0.57203124735656,0.638752052545156,0.37248322147651,0.877017250973845,0.778652238071815,0.193251473715473
109,26163518800,26163518800,"+42.3597016,-083.0372366",0.577517685795344,0.653530377668309,0.385906040268456,0.829716193656094,0.834727004426955,0.183708812956908
110,26163518900,26163518900,"+42.3525953,-083.0435070",0.567388544347701,0.614121510673235,0.384228187919463,0.940456316082359,0.668470241023119,0.229666466040328
111,26163520200,26163520200,"+42.3572141,-083.0699378",0.303161541590406,0.229885057471264,0.795302013422819,0.013355592654424,0.257747171667486,0.219517872736038
112,26163520300,26163520300,"+42.3497881,-083.0627334",0.168392383730039,0.00821018062397373,0.535234899328859,0,0.0865715691096901,0.211945269587674
113,26163520400,26163520400,"+42.3481561,-083.0675930",0.452640126589394,0.364532019704434,0.870805369127517,0.189760712298275,0.461387112641417,0.376715419175329
114,26163520700,26163520700,"+42.3347168,-083.0554556",0.244269201055121,0.0607553366174056,0.449664429530201,0.200333889816361,0.185440236104279,0.32515211320736
115,26163520800,26163520800,"+42.3254678,-083.0537969",0.198516787054673,0,0.483221476510067,0.10740122426266,0.0241023118544024,0.377858922646235
116,26163521100,26163521100,"+42.3208768,-083.0808652",0.425174247063515,0.152709359605911,0.558724832214765,0.223149693934335,0.489916379734383,0.701370969828183
117,26163521300,26163521300,"+42.3341230,-083.0929489",0.425241907726993,0.326765188834154,0.585570469798658,0.282693377851976,0.517953762911953,0.413226739238222
118,26163521400,26163521400,"+42.3305838,-083.0730165",0.258716238346809,0.0541871921182266,0.508389261744966,0.11463550361714,0.218396458435809,0.397972775817904
119,26163521500,26163521500,"+42.3368603,-083.0763920",0.335117523430946,0.110016420361248,0.511744966442953,0.304396215915415,0.344810624692573,0.404619389742544
