row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.339750976821231,0.328490071355842,0.364906724377767,0.365996497166252,0.299610614385062
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.33087570313006,0.260867425537927,0.391739067862852,0.229885900757048,0.441010418362411
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.448070745126165,0.457045375906293,0.599362132411371,0.378422040261473,0.357453431925522
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.530487788394786,0.661952231800956,0.532501348592218,0.489417073871187,0.438080499314784
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.315990794312546,0.2250815063521,0.402040516863515,0.410935590022465,0.225905564012104
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.313431084295677,0.358200613587167,0.306510160119313,0.288632181569762,0.300381381906466
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.471846763228977,0.427536771273403,0.526841519320485,0.613585824950954,0.319422937371066
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.430364236780307,0.453000374722494,0.476921405672541,0.481650228892202,0.309884937833993
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.452837492491744,0.657427146925729,0.514051498145306,0.362277901472212,0.27759342342373
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.418484569338964,0.541181025491502,0.583526856863125,0.236001132992459,0.313229262008768
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.551126253558061,0.565209749436872,0.576060919167007,0.684783036252236,0.37845130937613
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.544148950932368,0.625098104005242,0.734069418541662,0.40397205328379,0.413456227898777
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.536504291216698,0.587588605670108,0.684672464483797,0.528797641626465,0.344958453086424
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.244800731027298,0.164141080588697,0.248436915445627,0.187930566393664,0.378694361681206
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.482195383646936,0.505093105583333,0.597367253731995,0.521058164494767,0.305263010777649
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.391638731269744,0.36718418443841,0.443903564372006,0.457174246679005,0.298292929589555
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.459948518879687,0.648822254490698,0.557940875257094,0.326753158893439,0.306277786877515
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.207635647567169,0.139038436044569,0.228487883884944,0.198565651801483,0.264450618537682
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.507593566624925,0.682087577223986,0.637794675827576,0.383486122376106,0.32700589107203
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.368418677291607,0.400652621848427,0.39955621256154,0.357704459998211,0.315761414758248
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.446252359347629,0.390355515463435,0.618928015851393,0.378825629699249,0.396900276376441
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.491271385521924,0.582276427432105,0.380968474003366,0.425118884404243,0.576721756247982
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.464090403757712,0.506312338494885,0.457463453562273,0.488409974077425,0.404175848896267
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.51385508293298,0.466070772753694,0.608040548339036,0.474924997328217,0.506384013310973
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.513239749580343,0.407838123172699,0.584933513333037,0.672214702433839,0.387972659381795
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.468116337274558,0.361932685948823,0.628764257026686,0.448063168416487,0.433705237706234
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.486562471310371,0.404865323906568,0.550522307246772,0.560593900962324,0.430268353125819
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.519231724482036,0.47391230855606,0.658242156711341,0.656128001395268,0.288644431265474
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.546695746024081,0.599316241952275,0.5967214677561,0.71507474686859,0.27567052751936
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.580429093711179,0.696902941343169,0.548058286362075,0.673834468503196,0.402920678636275
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.57522714864907,0.67337947731105,0.528520436253064,0.673165349228497,0.425843331803668
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.60524419457,0.653201668054984,0.586033735326193,0.775444193118946,0.406297181779877
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.635259537218474,0.583627023474996,0.6610435935303,0.686604473797759,0.609763058070842
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.59654000564468,0.717495727147708,0.415918645190991,0.725721918297604,0.527023731942415
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.534803274007461,0.470928974240778,0.443078430749322,0.761267635459704,0.46393805558004
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.604962616808879,0.473353690872847,0.659250777028519,0.734310264045775,0.552935735288376
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.675719889816963,0.739676466225189,0.620090925316292,0.674864548640992,0.66824761908538
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.495616154722317,0.362538110692416,0.467502721794891,0.693730328340988,0.458693458060975
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.607863470720311,0.657016161568743,0.561755690928933,0.760255645186002,0.452426385197567
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.679863101721703,0.846100513961356,0.623315554525471,0.688686937144127,0.561349401255859
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.616478389165739,0.548404488441793,0.504835926401975,0.650801257614186,0.761871884205003
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.568450207285034,0.540838797407069,0.491468362188295,0.559213392145752,0.682280277399021
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.655863775756838,0.677533419820856,0.638864525145116,0.68438943726763,0.622667720793752
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.589367124866176,0.496068836994021,0.523645435742133,0.720271364162022,0.617482862566528
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.669676586678262,0.772427478563893,0.685418196286996,0.688019321532041,0.532841350330117
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.681679623476449,0.608881769535087,0.726996925948518,0.846933934151371,0.543905864270818
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.466047250801219,0.234709421693999,0.354235677786095,0.581922294256141,0.693321609468643
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.606183528430036,0.527778574897421,0.50419495663986,0.760912171590816,0.631848410592046
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.574193719612725,0.525162268928757,0.503501210591768,0.718043253048096,0.550068145882279
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.656596664939894,0.663606267269093,0.717200343473983,0.70492799278447,0.540652056232029
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.538311471737405,0.419019062158666,0.501445916652477,0.679152760911466,0.553628147227013
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.692615306930272,0.867658729433457,0.65208740978943,0.703811307429096,0.546903781069105
53,26163507300,26163507300,"+42.4262623,-083.0877402",0.467953529590876,0.350341356886224,0.301976742880577,0.634550420697402,0.584945597899302
54,26163507400,26163507400,"+42.4362144,-083.0856365",0.519709964351107,0.375156464221819,0.551541097892195,0.519795930257236,0.63234636503318
55,26163507500,26163507500,"+42.4432546,-083.0881317",0.586450248939452,0.591375042569189,0.486609888916977,0.551626422942315,0.716189641329329
56,26163507800,26163507800,"+42.4243919,-083.0970382",0.697046395686921,0.857211007509845,0.795724914792633,0.530440353489922,0.604809306955283
57,26163507900,26163507900,"+42.4263906,-083.1066037",0.46086508001526,0.347884077017658,0.445651024884306,0.496844613957687,0.553080604201388
