row#,Name,FIPS,Source,ToxPi Score,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.367647599989559,0.684411980828919,0.417826842980918,0.000703976158841428
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.26329563393291,0.443078998453591,0.346807903345139,0
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.346265016709499,0.554974281358646,0.347953370113458,0.135867398656393
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.322072025647887,0.570334177826035,0.224815692519163,0.171066206598463
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.309137395340626,0.516149551980171,0.277507163861838,0.133755470179868
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.266713888021471,0.138047138047138,0.408663108834365,0.253431417182908
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.409386864668081,0.664610272102129,0.451618112646329,0.111932209255785
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.411587096229091,0.86356507529146,0.323325834594599,0.047870378801216
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.32840643236326,0.462189758606697,0.419545043133396,0.103484495349688
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.298262564861816,0.471007578499435,0.361126237949126,0.0626538781368857
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.314612172309234,0.41513945097007,0.413244975907642,0.115452090049992
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.203695280718696,0.361952861952862,0.247725027885544,0.00140795231768284
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.30376163474395,0.420294146678511,0.376242643662189,0.11474811389115
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.490699003484782,0.887463121990809,0.457918179872083,0.126715708591454
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.480108082411643,0.804872832560129,0.457345446487924,0.178105968186877
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.295767687806769,0.3521699075445,0.32218036782628,0.212952788049527
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.430857488770038,0.730568442294827,0.453591695553711,0.108412328461577
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.464107777360692,0.905521008126872,0.317144069674425,0.16965825428078
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.304294757868214,0.721449017865956,0.190027303421002,0.00140795231768284
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.215735330290395,0.49190054727514,0.093355541618,0.0619499019780443
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.27132503990443,0.364946972438829,0.389190173772942,0.0598379735015201
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.511387827486965,0.503295715022099,0.372248532488067,0.658619234950729
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.52445651885285,0.528038254422619,0.377968355072164,0.667362947063766
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.338222271929685,0.797606905098762,0.215651958372611,0.00140795231768284
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.368453987380502,0.0252525252525253,0.394555089440299,0.685554347448681
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.357726599713544,0.394257449632042,0.135347226655951,0.543575122852639
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.19933044927918,0.221640948025313,0.294689165386623,0.0816612344256038
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.160852952435045,0.28898101536538,0.192169889622071,0.00140795231768284
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.159762310759094,0.254208754208754,0.223670225750844,0.00140795231768284
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.231729477289152,0.318181818181818,0.291825498465826,0.0851811152198109
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.254789975940191,0.421873457704077,0.271394878073513,0.0711015920429826
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.321536743710929,0.661034887419252,0.146236672212479,0.157338671501056
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.329897716609146,0.106060606060606,0.378430297408241,0.505202246358591
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.328682990068899,0.0336700336700337,0.05981402126437,0.892564915272295
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.462601282253881,0.491001217385582,0.236373639992939,0.660428989383122
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.242936364502588,0.349795457287314,0.0244622878539211,0.354551348366528
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.393457676993558,0.318499873874467,0.307392579628719,0.55448057747749
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.511627060091072,0.535671591046184,0.248793504264516,0.750416084962517
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.453202363910684,0.414958488248391,0.307484592533059,0.637164010950602
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.482860624567907,0.376418912249531,0.220134301284049,0.852028660170139
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.327076193841616,0.358004584388949,0.206018770632485,0.417205226503414
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.375454150870558,0.544089099463692,0.148172698832375,0.434100654315608
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.423204700828819,0.388203424034043,0.242100973834535,0.63930970461788
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.406499645833893,0.374647671064609,0.211173371089921,0.633677895347149
45,26163506500,26163506500,"+42.4298760,-083.0459797",0.321130909212471,0.411772447603066,0.125263363465995,0.426356916568352
46,26163506600,26163506600,"+42.4370474,-083.0485200",0.345290966917698,0.33592713234407,0.230646306151344,0.469299462257679
47,26163506700,26163506700,"+42.4441868,-083.0465810",0.382118887709238,0.600428826813192,0.0456534230678229,0.500274413246701
48,26163506800,26163506800,"+42.4438513,-083.0676404",0.46381927930527,0.480796016626636,0.269592176274191,0.641069645014983
49,26163506900,26163506900,"+42.4368143,-083.0671656",0.392813986207292,0.435445661830027,0.279328643804903,0.463667652986947
50,26163507000,26163507000,"+42.4296948,-083.0621938",0.381544963020083,0.497631033461652,0.188264035723541,0.458739819875057
51,26163507100,26163507100,"+42.4277494,-083.0763573",0.234041962618099,0.0858585858585859,0.168791100662117,0.447476201333595
52,26163507200,26163507200,"+42.4209193,-083.0737640",0.177936278761374,0.131313131313131,0.0479443566044609,0.354551348366528
53,26163507300,26163507300,"+42.4262623,-083.0877402",0.391507125052195,0.468013468013468,0.202009636943369,0.504498270199749
54,26163507400,26163507400,"+42.4362144,-083.0856365",0.359352952263936,0.368686868686869,0.238664573529577,0.470707414575361
55,26163507500,26163507500,"+42.4432546,-083.0881317",0.371556462514116,0.544089099463692,0.156190966210608,0.414389321868048
56,26163507800,26163507800,"+42.4243919,-083.0970382",0.410823803889685,0.689654416038781,0.0643658433076574,0.478451152322617
57,26163507900,26163507900,"+42.4263906,-083.1066037",0.434434364069771,0.509327805744744,0.35001896592518,0.443956320539388
58,26163508000,26163508000,"+42.4392203,-083.1132634",0.54847357119926,0.592011318395683,0.431347106475831,0.622062288726265
59,26163508100,26163508100,"+42.4408940,-083.1014824",0.429095338224477,0.480116035490628,0.27662459110592,0.530545388076881
60,26163510400,26163510400,"+42.4147480,-083.0760398",0.294644890973913,0.30976430976431,0.0422170227628658,0.531953340394564
61,26163510500,26163510500,"+42.4086539,-083.0689077",0.545026429993571,0.886344443347701,0.226637172462228,0.522097674170785
62,26163510600,26163510600,"+42.4074065,-083.0465471",0.487594989446033,0.641907676109631,0.307227331963781,0.513649960264687
63,26163510700,26163510700,"+42.3936461,-083.0398776",0.500747574251875,0.830558571600917,0.317132802788179,0.354551348366528
64,26163511000,26163511000,"+42.4008260,-083.0306599",0.513455897365268,0.436026936026936,0.444615742844588,0.65972501322428
65,26163511200,26163511200,"+42.3763856,-083.0658451",0.352476525001437,0.162614198444817,0.384685297089012,0.510130079470481
66,26163511300,26163511300,"+42.4154477,-083.0497684",0.468808473801522,0.617642220248083,0.167072900509639,0.621710300646844
67,26163511400,26163511400,"+42.3900705,-083.0776630",0.540514441024453,0.579941653231556,0.490640973158521,0.550960696683282
68,26163511900,26163511900,"+42.3735241,-083.0718813",0.515469104658065,0.672819399203764,0.428213034285135,0.445374880485295
69,26163512100,26163512100,"+42.3989089,-082.9638962",0.319802453322839,0.615580341964707,0.237526618018756,0.106300399985053
70,26163512200,26163512200,"+42.3953197,-082.9768484",0.167945991340232,0.0673400673400673,0.17743468022699,0.25906322645364
71,26163512300,26163512300,"+42.3882982,-082.9663155",0.160083061022908,0.393253929084548,0.0412368036594847,0.0457584503246918
72,26163512400,26163512400,"+42.3908867,-082.9560714",0.222762142929835,0.407407407407407,0.176401882321129,0.0844771390609695
73,26163512600,26163512600,"+42.3820764,-082.9560601",0.235542906063973,0.324915824915825,0.220502352901411,0.161210540374683
74,26163512900,26163512900,"+42.3755477,-082.9504678",0.237120301654029,0.304132530516895,0.242838954883632,0.164389419561559
75,26163513200,26163513200,"+42.3679701,-082.9383380",0.393926615317998,0.620839228331085,0.310994227598613,0.249946390024295
76,26163513300,26163513300,"+42.3582384,-082.9413094",0.522407692369415,0.599644655019248,0.481096042693988,0.48648237939501
77,26163513600,26163513600,"+42.3657136,-082.9802179",0.0961075634886434,0.214906941291306,0.0269184690554969,0.0464972801191271
78,26163513700,26163513700,"+42.3580493,-082.9609921",0.388281066487783,0.199651235481854,0.473077775315755,0.492114188665741
79,26163513900,26163513900,"+42.3722151,-082.9837943",0.115648429239363,0.157563693394312,0.0830463407031288,0.106335253620647
80,26163514100,26163514100,"+42.3798303,-082.9893988",0.361148071558855,0.226691453075818,0.220404706553948,0.636348055046799
81,26163514200,26163514200,"+42.3817139,-083.0084252",0.309415267874376,0.0673400673400673,0.428213034285135,0.432692701997925
82,26163514300,26163514300,"+42.3888619,-082.9934067",0.418861604066561,0.235108961493326,0.227805173003038,0.793670677703319
83,26163514500,26163514500,"+42.3753160,-082.9999028",0.297127107674043,0.297979797979798,0.0706809330484063,0.522720591993924
84,26163515200,26163515200,"+42.3616627,-083.0056672",0.612661241785023,0.731950339442196,0.400759388132964,0.705273997779907
85,26163515300,26163515300,"+42.3532902,-083.0005510",0.37145811834153,0.214906941291306,0.312924620775387,0.586542792957898
86,26163515400,26163515400,"+42.3609676,-082.9963793",0.491438549982716,0.772886300573597,0.0789020043790631,0.622527344995488
87,26163515600,26163515600,"+42.3639483,-082.9917654",0.123431837806187,0.248472784303403,0,0.121822729115158
88,26163515700,26163515700,"+42.3530390,-082.9871415",0.644329133902627,0.598953706445563,0.480418151704868,0.853615543557449
89,26163515900,26163515900,"+42.3829752,-083.0169292",0.373133738755831,0.314814814814815,0.326839225288902,0.477747176163776
90,26163516000,26163516000,"+42.3714831,-083.0093251",0.510175368955903,0.293927329757949,0.479766550116988,0.756832226992773
91,26163516100,26163516100,"+42.3756603,-083.0258411",0.345359698210224,0.205387205387205,0.329702892209699,0.500988997033766
92,26163516200,26163516200,"+42.3661558,-083.0189390",0.243939043396083,0.114478114478114,0.283884221476939,0.333454794233195
93,26163516300,26163516300,"+42.3595713,-083.0152242",0.514512998679644,0.886108643437634,0.323975558368104,0.333454794233195
94,26163516400,26163516400,"+42.3508558,-083.0096137",0.370925578146029,0.342853069237434,0.349175827271123,0.42074783792953
95,26163516500,26163516500,"+42.3375655,-083.0148583",0.728038509155731,0.56287632020531,0.621239207261884,1
96,26163516600,26163516600,"+42.3413645,-083.0201887",0.31118270096687,0.128944164774784,0.389839897546448,0.414764040579378
97,26163516700,26163516700,"+42.3483954,-083.0210206",0.459471382195642,0.382154882154882,0.455131503340632,0.541127761091412
98,26163516800,26163516800,"+42.3560005,-083.0254934",0.357652959501142,0.365319865319865,0.295338889160129,0.412300124023433
99,26163516900,26163516900,"+42.3446547,-083.0302450",0.518516512663442,0.723132519549458,0.394421764619724,0.437995253821145
100,26163517000,26163517000,"+42.3408105,-083.0361037",0.428753899905369,0.458729532019434,0.494077373463478,0.333454794233195
101,26163517100,26163517100,"+42.3358287,-083.0330442",0.350804189780687,0.411591484881387,0.307366290227479,0.333454794233195
102,26163517200,26163517200,"+42.3338393,-083.0390113",0.764103653993169,0.900832428519725,0.641269853192472,0.750208680267311
103,26163517300,26163517300,"+42.3456895,-083.0505419",0.371488581861919,0.297398523782889,0.432222167974251,0.384845053828618
104,26163517500,26163517500,"+42.3541327,-083.0560746",0.378646212824732,0.194600730431349,0.513550308524902,0.427787599517944
105,26163518000,26163518000,"+42.3624987,-083.0613713",0.525607632596499,0.691337917722283,0.499231973920914,0.386253006146301
106,26163518400,26163518400,"+42.3698286,-083.0441079",0.538722665302018,0.925723028328892,0.268993153488791,0.421451814088372
107,26163518500,26163518500,"+42.3732892,-083.0345719",0.368828144225777,0.425059498349401,0.302211689770043,0.379213244557887
108,26163518600,26163518600,"+42.3647264,-083.0294479",0.445007556367918,0.691337917722283,0.310229957148276,0.333454794233195
109,26163518800,26163518800,"+42.3597016,-083.0372366",0.386125594448277,0.372870946160848,0.287320621781896,0.498185215402086
110,26163518900,26163518900,"+42.3525953,-083.0435070",0.41834151703101,0.18013468013468,0.459140637029748,0.615749233928602
111,26163520200,26163520200,"+42.3572141,-083.0699378",0.45073054793228,0.455466719310368,0.514695775293221,0.382029149193253
112,26163520300,26163520300,"+42.3497881,-083.0627334",0.588561485086377,0.943879621404051,0.488350039621883,0.333454794233195
113,26163520400,26163520400,"+42.3481561,-083.0675930",0.357059292627737,0.365637921012514,0.372085162637503,0.333454794233195
114,26163520700,26163520700,"+42.3347168,-083.0554556",0.495852378209197,0.643415698790292,0.510686641604104,0.333454794233195
115,26163520800,26163520800,"+42.3254678,-083.0537969",0.621672128967726,0.412386624113009,0.703125058681699,0.74950470410847
116,26163521100,26163521100,"+42.3208768,-083.0808652",0.541842897808785,0.462200726044374,0.426494834132656,0.736833133249324
117,26163521300,26163521300,"+42.3341230,-083.0929489",0.51048937540329,0.655984382368747,0.388914135059921,0.486569608781202
118,26163521400,26163521400,"+42.3305838,-083.0730165",0.540876017520082,0.753347810351068,0.388694430778129,0.48058581143105
119,26163521500,26163521500,"+42.3368603,-083.0763920",0.563196161829045,0.70260695993595,0.392703564467245,0.594277961083938
120,26163521800,26163521800,"+42.3461214,-083.0712523",0.302285990246563,0.28550982134044,0.287893355166055,0.333454794233195
121,26163521900,26163521900,"+42.3503993,-083.0805337",0.512897121854976,0.419509974884568,0.514695775293221,0.604485615387139
122,26163522000,26163522000,"+42.3435757,-083.0875891",0.389244217129756,0.13567817150879,0.440240435352485,0.591814044527993
123,26163522100,26163522100,"+42.3435090,-083.1014140",0.425943045081059,0.471380471380471,0.377957088185919,0.428491575676786
124,26163522200,26163522200,"+42.3511187,-083.1065656",0.245748815977925,0.0218855218855219,0.381906131815058,0.333454794233195
125,26163522300,26163522300,"+42.3565382,-083.0965947",0.373026673492246,0.101010101010101,0.502285300093515,0.515784619373121
126,26163522400,26163522400,"+42.3609881,-083.0833636",0.39579786371813,0.387205387205387,0.310802690532436,0.489385513416568
127,26163522500,26163522500,"+42.3411363,-083.0606837",0.419035291470552,0.38274164007063,0.474031705017896,0.400332529323129
128,26163523100,26163523100,"+42.3259510,-083.1023821",0.623674982719169,0.889711446714704,0.478200452928827,0.503113048513975
129,26163523200,26163523200,"+42.3144563,-083.1042425",0.602044946638469,0.823627150988715,0.595550706621549,0.386956982305142
130,26163523300,26163523300,"+42.3172270,-083.0975239",0.491772927364732,0.60519966220292,0.53666432565808,0.333454794233195
131,26163523400,26163523400,"+42.3196503,-083.0910903",0.515283498216261,0.779028065673017,0.43336763474257,0.333454794233195
132,26163523800,26163523800,"+42.3078841,-083.1139929",0.57639534169082,0.525746059948014,0.732005843758333,0.471434121366112
133,26163524000,26163524000,"+42.3169861,-083.1199144",0.596272627401701,0.600445277969708,0.581775060371732,0.606597543863663
134,26163524100,26163524100,"+42.3113650,-083.1373320",0.689202146159466,0.802268066111714,0.634466531714407,0.630871840652277
135,26163524200,26163524200,"+42.3070018,-083.1291089",0.687130204483187,0.892650720012284,0.684294336136284,0.484445557300993
136,26163524300,26163524300,"+42.3001177,-083.1320379",0.79949622743748,0.754603581965145,0.803567471748283,0.840317628599012
137,26163524500,26163524500,"+42.2868892,-083.1512103",0.819356724744607,1,0.689570994528049,0.768499179705773
138,26163524700,26163524700,"+42.2739530,-083.1526152",0.674352816898056,0.607058642889262,0.784072002914368,0.631927804890539
139,26163524800,26163524800,"+42.2630997,-083.1615912",0.516881270080067,0.134680134680135,0.756580800474711,0.659382875085354
