row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.3517066724648,0.328490071355842,0.364906724377767,0.365996497166252,0.299610614385062,0.684411980828919,0.417826842980918,0.000703976158841428
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.301912816331281,0.260867425537927,0.391739067862852,0.229885900757048,0.441010418362411,0.443078998453591,0.346807903345139,0
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.404439718661879,0.457045375906293,0.599362132411371,0.378422040261473,0.357453431925522,0.554974281358646,0.347953370113458,0.135867398656393
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.441166747217544,0.661952231800956,0.532501348592218,0.489417073871187,0.438080499314784,0.570334177826035,0.224815692519163,0.171066206598463
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.31305362332458,0.2250815063521,0.402040516863515,0.410935590022465,0.225905564012104,0.516149551980171,0.277507163861838,0.133755470179868
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.293409428749589,0.358200613587167,0.306510160119313,0.288632181569762,0.300381381906466,0.138047138047138,0.408663108834365,0.253431417182908
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.445078235274307,0.427536771273403,0.526841519320485,0.613585824950954,0.319422937371066,0.664610272102129,0.451618112646329,0.111932209255785
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.422316890829786,0.453000374722494,0.476921405672541,0.481650228892202,0.309884937833993,0.86356507529146,0.323325834594599,0.047870378801216
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.399509895293823,0.657427146925729,0.514051498145306,0.362277901472212,0.27759342342373,0.462189758606697,0.419545043133396,0.103484495349688
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.366960853134472,0.541181025491502,0.583526856863125,0.236001132992459,0.313229262008768,0.471007578499435,0.361126237949126,0.0626538781368857
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.449763075879992,0.565209749436872,0.576060919167007,0.684783036252236,0.37845130937613,0.41513945097007,0.413244975907642,0.115452090049992
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.398240235126508,0.625098104005242,0.734069418541662,0.40397205328379,0.413456227898777,0.361952861952862,0.247725027885544,0.00140795231768284
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.436757438442663,0.587588605670108,0.684672464483797,0.528797641626465,0.344958453086424,0.420294146678511,0.376242643662189,0.11474811389115
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.350185704937649,0.164141080588697,0.248436915445627,0.187930566393664,0.378694361681206,0.887463121990809,0.457918179872083,0.126715708591454
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.481300825974668,0.505093105583333,0.597367253731995,0.521058164494767,0.305263010777649,0.804872832560129,0.457345446487924,0.178105968186877
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.350551141214183,0.36718418443841,0.443903564372006,0.457174246679005,0.298292929589555,0.3521699075445,0.32218036782628,0.212952788049527
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.44748093454698,0.648822254490698,0.557940875257094,0.326753158893439,0.306277786877515,0.730568442294827,0.453591695553711,0.108412328461577
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.317552274621536,0.139038436044569,0.228487883884944,0.198565651801483,0.264450618537682,0.905521008126872,0.317144069674425,0.16965825428078
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.420465505729191,0.682087577223986,0.637794675827576,0.383486122376106,0.32700589107203,0.721449017865956,0.190027303421002,0.00140795231768284
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.30298295714823,0.400652621848427,0.39955621256154,0.357704459998211,0.315761414758248,0.49190054727514,0.093355541618,0.0619499019780443
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.371283508157687,0.390355515463435,0.618928015851393,0.378825629699249,0.396900276376441,0.364946972438829,0.389190173772942,0.0598379735015201
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.499892717792656,0.582276427432105,0.380968474003366,0.425118884404243,0.576721756247982,0.503295715022099,0.372248532488067,0.658619234950729
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.489961595941343,0.506312338494885,0.457463453562273,0.488409974077425,0.404175848896267,0.528038254422619,0.377968355072164,0.667362947063766
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.438583878217282,0.466070772753694,0.608040548339036,0.474924997328217,0.506384013310973,0.797606905098762,0.215651958372611,0.00140795231768284
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.451188708637554,0.407838123172699,0.584933513333037,0.672214702433839,0.387972659381795,0.0252525252525253,0.394555089440299,0.685554347448681
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.420806449748409,0.361932685948823,0.628764257026686,0.448063168416487,0.433705237706234,0.394257449632042,0.135347226655951,0.543575122852639
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.363463033297003,0.404865323906568,0.550522307246772,0.560593900962324,0.430268353125819,0.221640948025313,0.294689165386623,0.0816612344256038
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.365640822176183,0.47391230855606,0.658242156711341,0.656128001395268,0.288644431265474,0.28898101536538,0.192169889622071,0.00140795231768284
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.380867130910515,0.599316241952275,0.5967214677561,0.71507474686859,0.27567052751936,0.254208754208754,0.223670225750844,0.00140795231768284
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.430986400958881,0.696902941343169,0.548058286362075,0.673834468503196,0.402920678636275,0.318181818181818,0.291825498465826,0.0851811152198109
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.437896931773836,0.67337947731105,0.528520436253064,0.673165349228497,0.425843331803668,0.421873457704077,0.271394878073513,0.0711015920429826
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.48365528705897,0.653201668054984,0.586033735326193,0.775444193118946,0.406297181779877,0.661034887419252,0.146236672212479,0.157338671501056
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.504390185528762,0.583627023474996,0.6610435935303,0.686604473797759,0.609763058070842,0.106060606060606,0.378430297408241,0.505202246358591
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.481744141826488,0.717495727147708,0.415918645190991,0.725721918297604,0.527023731942415,0.0336700336700337,0.05981402126437,0.892564915272295
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.503859563255927,0.470928974240778,0.443078430749322,0.761267635459704,0.46393805558004,0.491001217385582,0.236373639992939,0.660428989383122
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.449808508677611,0.473353690872847,0.659250777028519,0.734310264045775,0.552935735288376,0.349795457287314,0.0244622878539211,0.354551348366528
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.554750370035504,0.739676466225189,0.620090925316292,0.674864548640992,0.66824761908538,0.318499873874467,0.307392579628719,0.55448057747749
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.502477971308927,0.362538110692416,0.467502721794891,0.693730328340988,0.458693458060975,0.535671591046184,0.248793504264516,0.750416084962517
39,26163505400,26163505400,"+42.4186463,-082.9937654",0.541580139230471,0.657016161568743,0.561755690928933,0.760255645186002,0.452426385197567,0.414958488248391,0.307484592533059,0.637164010950602
40,26163505500,26163505500,"+42.3970633,-083.0014601",0.59543346865579,0.846100513961356,0.623315554525471,0.688686937144127,0.561349401255859,0.376418912249531,0.220134301284049,0.852028660170139
41,26163506100,26163506100,"+42.4445674,-083.0320133",0.492448876883972,0.548404488441793,0.504835926401975,0.650801257614186,0.761871884205003,0.358004584388949,0.206018770632485,0.417205226503414
42,26163506200,26163506200,"+42.4374798,-083.0316910",0.48573761167883,0.540838797407069,0.491468362188295,0.559213392145752,0.682280277399021,0.544089099463692,0.148172698832375,0.434100654315608
43,26163506300,26163506300,"+42.4265859,-083.0313176",0.55615274364483,0.677533419820856,0.638864525145116,0.68438943726763,0.622667720793752,0.388203424034043,0.242100973834535,0.63930970461788
44,26163506400,26163506400,"+42.4225996,-083.0523153",0.510995348138055,0.496068836994021,0.523645435742133,0.720271364162022,0.617482862566528,0.374647671064609,0.211173371089921,0.633677895347149
