"row#","Name","FIPS","Source","Life Expectancy","Self-Reported Physical Health","Self-Reported Mental Health","Alcohol Abuse","Current Diabetes","Current Adult Asthma","Stroke","COPD","CHD","Cancer","High Blood Pressure","Cholesterol Screening","Routine Doctor Visit","Colonoscopy","Mammogram","Older Men Preventive Screening","Older Women Preventive Screening","Dental Exams","Proximity to Nursing Homes","Medically Underserved Areas","Current Lack of Health Insurance","Proximity to hospitals","Below Poverty","Unemployed","Low Income","No High School Diploma","Religious Organizations","Civic and Social Organizations","Aged 65 or Older","Aged 17 or Younger","Civilian with a Disability","Single-Parent Households","Minority","Speaks English Less than Well","Redlining","Multi-Unit Structures","Mobile Homes","Crowding","No Vehicle","Group Quarters","Housing Foreclosure Risk","Percent of Housing Units Built Between 1940-1969 as of 2015-2019","Blight Violations","Flooding risk to roads","Lane miles per capita","Road Quality and Maintenance","Public Transit Performance","Bridge Quality and Maintenance","Walkability","Bikability","Residential Energy Cost Burden","EV Charging Stations","Modified Retail Food Environment Index","Indoor Plumbing","Percent of Household with no internet access","Percent of household with smartphone but no other device.","Housing Affordability (renters)","Housing Affordability (owners)","Public Library Locations","HUD Public Housing","Improve Detroit Issues","Total vehicle miles traveled per capita","Passenger vehicle miles traveled per capita","Truck vehicle miles traveled per capita","Heavy Duty Vehicle vehicle miles traveled per capita","Proximity to Ports","Rail Crossings","Traffic Proximity and Volume","National Transportation Noise Map","Risk-Screening Environmental Indicators (RSEI)","Air Tox Respiratory","Air Tox Neurological","Air Tox Liver","Air Tox Developmental","Air Tox Reproductive","Air Tox Kidney","Air Tox Immunological","Air Tox Thyroid","Air Tox Total Cancer Risk","Lead Paint: % housing units built before 1960","Superfund Sites","Brownfields","Stream Toxicity Risk-Screening Environmental Indicators (RSEI)","NPL sites","Hazardous Waste Management Facilities (TSDFs)","Facilities with Enforcement or Violation","TSCA Facilities","Risk Management Plan Facilities","Chemical Manufacturers","Metal Recyclers","Annual average PM2.5 concentrations","NO2 concentration","Ozone concentration","Parks and Greenspace","Impermeable Surfaces","Forest Land Cover","Increased PM2.5 mortality - CVD (ages 65+)","Increase in childhood asthma incidence","Expected Annual Loss - Agriculture Value","Expected Annual Loss - Building Value","Expected Annual Loss - Population Equivalence","Methane Emissions","Days with maximum temperature above 35C","Days with maximum temperature above 40C","Frost Days","Maximum of maximum temperatures","Mean temperature","Urban Heat Island Extreme Heat Days","Consecutive Dry Days","Wildfire - Annualized Frequency","Surface PM2.5","Snowfall","Standardized Precip Index","Total Precipitation","Riverine Flooding - Annualized Frequency","Tornado - Annualized Frequency"
1,"26163500100",26163500100,"+42.4444014,-082.9509210",0.906148867313916,0.103559870550162,0.297734627831715,0.844660194174757,0.087378640776699,0.300970873786408,0.100323624595469,0.0938511326860841,0.0355987055016181,0.12621359223301,0.171521035598705,0.0355987055016181,0.72168284789644,0.255663430420712,0.527508090614887,0.100323624595469,0.135922330097087,0.158576051779935,0.422077922077922,0.349480968858132,0.168284789644013,0.644012944983819,0.0744336569579288,0.284789644012945,0.194174757281553,0.0809061488673139,0.705501618122977,1,0.15210355987055,0.491909385113269,0.148867313915858,0.889967637540453,0.491467576791809,0,0.431297709923664,0.352750809061489,0,0.6957928802589,0.058252427184466,0,0.275080906148867,0.980582524271845,0.889967637540453,0.129449838187702,1,0.634304207119741,0.893203883495146,1,0.220064724919094,0.508090614886731,0.521172638436482,0.589473684210526,0.653679653679654,0.0647249190938511,0.249190938511327,0.181229773462783,0.488673139158576,0.385113268608414,0.0625,0,0.435810810810811,0.194174757281553,0.194174757281553,0.187702265372168,0.168284789644013,0,0,0.132686084142395,0.323624595469256,0.941747572815534,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.682847896440129,0,0.420711974110032,0,1,0.456310679611651,0.129449838187702,0.540453074433657,0.359223300970874,0.15210355987055,0.177993527508091,0.226537216828479,0.12621359223301,0.951456310679612,0.493023255813954,0.333333333333333,1,0.576547231270358,0.800664451827243,0,0.663430420711974,0.84789644012945,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.00323624595469256
2,"26163500200",26163500200,"+42.4461071,-082.9633178",0.699029126213592,0.0744336569579288,0.158576051779935,0.854368932038835,0.0647249190938511,0.174757281553398,0.0614886731391586,0.0485436893203884,0.0194174757281553,0.161812297734628,0.142394822006473,0.0161812297734628,0.647249190938511,0.13915857605178,0.258899676375405,0.087378640776699,0.0906148867313916,0.103559870550162,0.62987012987013,0.349480968858132,0.119741100323625,0.786407766990291,0.106796116504854,0.436893203883495,0.135922330097087,0.058252427184466,0.809061488673139,0.822222222222222,0.271844660194175,0.70873786407767,0.0129449838187702,0.961165048543689,0.474402730375427,0,0.431297709923664,0.200647249190939,0.906148867313916,0,0.029126213592233,0,0.197411003236246,0.928802588996764,0.919093851132686,0.129449838187702,1,0.84789644012945,0.822006472491909,1,0.15210355987055,0.294498381877023,0.234527687296417,0.452631578947368,1,0.100323624595469,0.245954692556634,0.0550161812297735,0,0.226537216828479,0.11328125,0,0.405405405405405,0.3042071197411,0.3042071197411,0.378640776699029,0.258899676375405,0,0,0.511326860841424,0.702265372168285,0.928802588996764,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.514563106796117,0.00323624595469256,0.0293159609120521,0.601941747572815,0,0.462783171521036,0,0.993527508090615,0.375404530744337,0.527508090614887,0.653721682847896,0.472491909385113,0.27831715210356,0.310679611650485,0.13915857605178,0.135922330097087,0.857605177993528,1,0.550161812297735,1,0.635179153094463,0.26578073089701,0,0.433656957928803,0.676375404530744,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0
3,"26163500300",26163500300,"+42.4388723,-082.9656436",0.922330097087379,0.168284789644013,0.537216828478964,0.825242718446602,0.119741100323625,0.359223300970874,0.119741100323625,0.116504854368932,0.0420711974110032,0.0258899676375405,0.174757281553398,0.0226537216828479,0.799352750809062,0.611650485436893,0.352750809061489,0.300970873786408,0.281553398058252,0.365695792880259,0.649350649350649,0.349480968858132,0.365695792880259,0.731391585760518,0.216828478964401,0.682847896440129,0.540453074433657,0.161812297734628,0.572815533980583,1,0.0161812297734628,0.585760517799353,0.0388349514563107,0.925566343042071,0.566552901023891,0.640776699029126,0.431297709923664,0.320388349514563,0.83495145631068,0.330097087378641,0.210355987055016,0.711038961038961,0.459546925566343,0.666666666666667,0.766990291262136,0.129449838187702,1,0.70873786407767,0.0388349514563107,1,0.242718446601942,0.365695792880259,0.644951140065147,0.666666666666667,0.952380952380952,0.106796116504854,0.498381877022654,0.275080906148867,0.258899676375405,0.12621359223301,0.14453125,0,0.371621621621622,0.339805825242718,0.343042071197411,0.449838187702265,0.297734627831715,0,0,0.398058252427184,0.87378640776699,0.877022653721683,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0162337662337662,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.268608414239482,0,0.524271844660194,0,0.983818770226537,0.3042071197411,0.485436893203884,0.634304207119741,0.44336569579288,0.132686084142395,0.258899676375405,0.12621359223301,0.103559870550162,0.938511326860841,0.493023255813954,0.508090614886731,1,0.390879478827362,0.730897009966777,0,0.420711974110032,0.6957928802589,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.624595469255663
4,"26163500400",26163500400,"+42.4261558,-082.9793388",0.611650485436893,0.478964401294498,0.857605177993528,0.737864077669903,0.27831715210356,0.731391585760518,0.268608414239482,0.349514563106796,0.135922330097087,0.0258899676375405,0.245954692556634,0.0485436893203884,0.789644012944984,0.841423948220065,0.258899676375405,0.750809061488673,0.73462783171521,0.805825242718447,0.707792207792208,0.349480968858132,0.750809061488673,0.83495145631068,0.605177993527508,0.886731391585761,0.822006472491909,0.297734627831715,0.310679611650485,0.325925925925926,0.200647249190939,0.718446601941748,0.41747572815534,0.951456310679612,0.658703071672355,0,0.198473282442748,0.475728155339806,0.83495145631068,0,0.310679611650485,0.62987012987013,0.588996763754045,0.514563106796117,0.414239482200647,0.129449838187702,1,0.177993527508091,0.0388349514563107,1,0.27831715210356,0.223300970873786,0.928338762214984,0.863157894736842,0.432900432900433,0.368932038834951,0.601941747572815,0.145631067961165,0.155339805825243,0.517799352750809,0.55859375,0,0.587837837837838,0.711974110032362,0.718446601941748,0.809061488673139,0.44336569579288,0,0,0.660194174757282,0.501618122977346,0.058252427184466,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.119741100323625,0,0.644012944983819,0,0.948220064724919,0.355987055016181,0.588996763754045,0.644012944983819,0.621359223300971,0.148867313915858,0.440129449838188,0.0485436893203884,0.106796116504854,0.951456310679612,1,0.540453074433657,1,0.703583061889251,0.448504983388704,0,0.171521035598705,0.249190938511327,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0.809061488673139,0,1,1,0,0,0.381877022653722
5,"26163500500",26163500500,"+42.4241342,-082.9679434",0.375404530744337,0.0906148867313916,0.207119741100324,0.83495145631068,0.106796116504854,0.252427184466019,0.119741100323625,0.0809061488673139,0.0323624595469256,0.12621359223301,0.177993527508091,0.0258899676375405,0.647249190938511,0.181229773462783,0.0647249190938511,0.145631067961165,0.200647249190939,0.148867313915858,0.564935064935065,0.349480968858132,0.177993527508091,0.6957928802589,0.142394822006473,0.517799352750809,0.427184466019417,0.13915857605178,0.938511326860841,1,0.122977346278317,0.398058252427184,0.11326860841424,0.838187702265372,0.935153583617747,0,0.0381679389312977,0.346278317152104,0,0,0.0744336569579288,0.779220779220779,0.381877022653722,0.886731391585761,0.711974110032362,0.129449838187702,1,0.352750809061489,0.0388349514563107,1,0.491909385113269,0.171521035598705,0.644951140065147,0.957894736842105,0.324675324675325,0.339805825242718,0.530744336569579,0.553398058252427,0.155339805825243,0.3042071197411,0.37890625,0,0.165540540540541,0.142394822006473,0.148867313915858,0.0420711974110032,0.0355987055016181,0,0,0.0550161812297735,0.423948220064725,0.388349514563107,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0162337662337662,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.122977346278317,0,0.605177993527508,0,0.957928802588997,0.216828478964401,0.320388349514563,0.576051779935275,0.514563106796117,0.0970873786407767,0.194174757281553,0.0614886731391586,0.129449838187702,1,0.195348837209302,0.491909385113269,1,0.234527687296417,0.810631229235881,0,0.275080906148867,0.44336569579288,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0.776699029126214,0,1,1,0,0,0.226537216828479
6,"26163500600",26163500600,"+42.4315247,-082.9651767",0.699029126213592,0.155339805825243,0.420711974110032,0.796116504854369,0.129449838187702,0.446601941747573,0.12621359223301,0.100323624595469,0.0355987055016181,0.0679611650485437,0.262135922330097,0.0776699029126214,0.682847896440129,0.385113268608414,0.135922330097087,0.310679611650485,0.213592233009709,0.245954692556634,0.590909090909091,0.349480968858132,0.236245954692557,0.682847896440129,0.0970873786407767,0.414239482200647,0.339805825242718,0.13915857605178,0.472491909385113,0.162962962962963,0.0420711974110032,0.73462783171521,0.0226537216828479,0.941747572815534,1,0,0.198473282442748,0.200647249190939,0,0.346278317152104,0.148867313915858,0,0.449838187702265,0.867313915857605,0.501618122977346,0.129449838187702,1,0.977346278317152,0.0388349514563107,1,0.3042071197411,0.365695792880259,0.521172638436482,0.778947368421053,0.212121212121212,0.171521035598705,0.333333333333333,0.15210355987055,0.129449838187702,0.385113268608414,0.1796875,0,0.530405405405405,0.310679611650485,0.317152103559871,0.16504854368932,0.194174757281553,0,0,0.317152103559871,0.472491909385113,0.809061488673139,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.27831715210356,0,0.550161812297735,0,0.970873786407767,0.262135922330097,0.385113268608414,0.601941747572815,0.501618122977346,0.0388349514563107,0.226537216828479,0.0809061488673139,0.0970873786407767,0.993527508090615,0.493023255813954,0.365695792880259,1,0,0.299003322259136,0,0.634304207119741,0.825242718446602,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0.744336569579288,0,1,1,0,0,0.792880258899676
7,"26163500700",26163500700,"+42.4295995,-082.9473259",0.258899676375405,0.300970873786408,0.718446601941748,0.760517799352751,0.187702265372168,0.650485436893204,0.197411003236246,0.262135922330097,0.0938511326860841,0.0841423948220065,0.187702265372168,0.058252427184466,0.783171521035599,0.624595469255663,0.702265372168285,0.349514563106796,0.381877022653722,0.475728155339806,0.275974025974026,0.349480968858132,0.614886731391586,0.485436893203884,0.362459546925566,0.595469255663431,0.669902912621359,0.715210355987055,0.851132686084142,1,0.110032362459547,0.763754045307443,0.365695792880259,0.851132686084142,0.655290102389079,0,0.0381679389312977,0.56957928802589,0,0.818770226537217,0.106796116504854,0,0.255663430420712,0.770226537216828,0.902912621359223,0.00323624595469256,1,0.899676375404531,0.799352750809062,1,0.427184466019417,0.634304207119741,0.644951140065147,0.768421052631579,0.212121212121212,0.0841423948220065,0.459546925566343,0.841423948220065,0.954692556634304,0.666666666666667,0.1171875,0,0.280405405405405,0.187702265372168,0.184466019417476,0.16504854368932,0.168284789644013,0,0,0.527508090614887,0.300970873786408,0.935275080906149,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.964401294498382,0,0.440129449838188,0,0.98705501618123,0.103559870550162,0.029126213592233,0.462783171521036,0.268608414239482,0.0194174757281553,0,0.106796116504854,0.0809061488673139,0.983818770226537,1,0.27831715210356,1,0.703583061889251,0.634551495016611,0,0.770226537216828,0.932038834951456,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.514563106796117
8,"26163500800",26163500800,"+42.4246567,-082.9351961",0.440129449838188,0.440129449838188,0.653721682847896,0.702265372168285,0.27831715210356,0.601941747572815,0.268608414239482,0.401294498381877,0.210355987055016,0.171521035598705,0.210355987055016,0.0970873786407767,0.757281553398058,0.705501618122977,0.585760517799353,0.330097087378641,0.462783171521036,0.527508090614887,0.146103896103896,0.349480968858132,0.537216828478964,0.326860841423948,0.530744336569579,0.233009708737864,0.579288025889968,0.317152103559871,0.815533980582524,1,0.181229773462783,0.750809061488673,0.41747572815534,0.877022653721683,0.402730375426621,0,0.0381679389312977,0,0.98705501618123,0.828478964401295,0.100323624595469,0,0.174757281553398,0.86084142394822,0.799352750809062,0.00323624595469256,1,0.220064724919094,0.799352750809062,1,0.585760517799353,0.679611650485437,0.234527687296417,0.649122807017544,0.350649350649351,0.0355987055016181,0.359223300970874,0.825242718446602,0.621359223300971,0.919093851132686,0.0859375,0,0.290540540540541,0.611650485436893,0.611650485436893,0.530744336569579,0.682847896440129,0,0,0.844660194174757,0.728155339805825,0.702265372168285,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.974110032362459,0,0.339805825242718,0,0.990291262135922,0.0550161812297735,0.0420711974110032,0,0.3042071197411,0,0,0.168284789644013,0.0517799352750809,0.822006472491909,0.493023255813954,0.155339805825243,1,0.840390879478827,0.890365448504983,0,0.446601941747573,0.530744336569579,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.220064724919094
9,"26163500900",26163500900,"+42.4223549,-082.9475917",0.336569579288026,0.757281553398058,0.932038834951456,0.440129449838188,0.472491909385113,0.961165048543689,0.462783171521036,0.682847896440129,0.359223300970874,0.12621359223301,0.359223300970874,0.171521035598705,0.682847896440129,0.854368932038835,0.401294498381877,0.893203883495146,0.841423948220065,0.867313915857605,0.292207792207792,0.349480968858132,0.831715210355987,0.456310679611651,0.546925566343042,0.355987055016181,0.692556634304207,0.84789644012945,0.731391585760518,1,0.119741100323625,0.563106796116505,0.446601941747573,0.631067961165049,0.614334470989761,0,0.0381679389312977,0.705501618122977,0,0.854368932038835,0.453074433656958,0,0.216828478964401,0.6957928802589,0.957928802588997,0.00323624595469256,1,0.0258899676375405,0.0388349514563107,1,0.262135922330097,0.58252427184466,0.234527687296417,0.726315789473684,0.432900432900433,0.0679611650485437,0.368932038834951,0.210355987055016,0.983818770226537,0.838187702265372,0.15625,0,0.0540540540540541,0.385113268608414,0.378640776699029,0.249190938511327,0.585760517799353,0,0,0.0258899676375405,0.511326860841424,0.896440129449838,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.805825242718447,0,0.44336569579288,0,0.974110032362459,0.058252427184466,0.0453074433656958,0.466019417475728,0.307443365695793,0.0258899676375405,0,0.13915857605178,0.0485436893203884,0.857605177993528,0.493023255813954,0.352750809061489,1,0.576547231270358,0.362126245847176,0,0.627831715210356,0.893203883495146,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.475728155339806
10,"26163501000",26163501000,"+42.4187276,-082.9515638",0.737864077669903,0.420711974110032,0.747572815533981,0.679611650485437,0.313915857605178,0.731391585760518,0.310679611650485,0.3042071197411,0.135922330097087,0.100323624595469,0.3042071197411,0.119741100323625,0.679611650485437,0.70873786407767,0.310679611650485,0.624595469255663,0.485436893203884,0.56957928802589,0.321428571428571,0.349480968858132,0.537216828478964,0.514563106796117,0.488673139158576,0.446601941747573,0.572815533980583,0.605177993527508,0.478964401294498,0.814814814814815,0.0550161812297735,0.883495145631068,0.268608414239482,0.475728155339806,0.78839590443686,0,0.0381679389312977,0.524271844660194,0.754045307443366,0.86084142394822,0.326860841423948,0.402597402597403,0.776699029126214,0.699029126213592,0.980582524271845,0.00323624595469256,1,0.0194174757281553,0.0388349514563107,1,0.233009708737864,0.58252427184466,0.149837133550489,0.715789473684211,0.272727272727273,0.0906148867313916,0.663430420711974,0.330097087378641,0.521035598705502,0.3042071197411,0.2109375,0,0.0135135135135135,0.352750809061489,0.352750809061489,0.249190938511327,0.595469255663431,0,0,0.0453074433656958,0.524271844660194,0.776699029126214,0.00324675324675325,0.0453074433656958,0.00595238095238095,0.0844155844155844,0.132075471698113,0.0228758169934641,0.00970873786407767,0.00323624595469256,0.0293159609120521,0.925566343042071,0,0.501618122977346,0,0.961165048543689,0.0647249190938511,0.0647249190938511,0.446601941747573,0.323624595469256,0.0485436893203884,0.103559870550162,0.168284789644013,0.0744336569579288,0.996763754045307,0.493023255813954,0.407766990291262,1,0.703583061889251,0.252491694352159,0,0.407766990291262,0.783171521035599,0.367213114754098,0,0,0,1,0,0.632302405498282,0,0,0,1,1,0,0,0.288025889967638
